symbol,description,exchange,category
AY,TSX Global Gold,MNTRL,
DP,1-Day Interbank Dep.,BMF,
XC,BMF Live Cattle,BMF,
XD,BMF US Dollar,BMF,
X4,BMF US Dollar Mini,BMF,
XF,Arabica Coffee 4/5,BMF,
XI,BMF Bovespa Index,BMF,
UM,BMF Bovespa Mini,BMF,
XE,BMF Cash Corn,BMF,
SJ,BMF Cash Soybean,BMF,
U5,BMF Mini-Soybean CME,BMF,
TL,BMF Ethanol,BMF,
O2,BMF Australian Dollar,BMF,
O3,BMF Euro Futures,BMF,
Z1,BMF Canadian Dollar,BMF,
Z2,BMF Chilean Peso,BMF,
Z3,BMF Japanese Yen,BMF,
Z4,BMF Mexican Peso,BMF,
Z5,BMF Pound Sterling,BMF,
Z6,BMF Swiss Franc,BMF,
Z7,BMF Turkish Lira,BMF,
Z0,BMF New Zealand Doll.,BMF,
U0,BMF South Africa Rand,BMF,
A1,TRIGO B.A.,MATBA,
A2,TRIGO I.W.,MATBA,
A3,TRIGO Q.Q.,MATBA,
A4,TRIGO ROS,MATBA,
B0,MAIZ ROS,MATBA,
D8,SOJA ROS,MATBA,
AA,US$/Argentine Peso,ROFEX,
GA,ROFEX Corn,ROFEX,
GL,ROFEX Wheat,ROFEX,
OQ,DME Crude Oil Oman,DME,
QW,DME Crude Oman (F),DME,
M7,DGCX Gold,DGCX,
M8,DGCX Indian Rupee,DGCX,
M9,DGCX Polypropylene,DGCX,
LX,JSE FTSE Top 40,SAFEX,
LY,JSE FTSE INDI 25,SAFEX,
LR,JSE FTSE FINI 15,SAFEX,
LL,JSE FTSE Weighted 40,SAFEX,
L$,JSE FTSE Fin Indu 30,SAFEX,
J$,JSE FTSE Capped 40,SAFEX,
HW,SAFEX White Maize,SAFEX,
HM,SAFEX Yellow Maize,SAFEX,
HX,SAFEX Wheat,SAFEX,
HL,SAFEX Sunflower,SAFEX,
HZ,SAFEX Soya Beans,SAFEX,
FQ,SAFEX Sorghum Sweet,SAFEX,
FR,SAFEX Sorghum Bitter,SAFEX,
LT,SAFEX CBOT Corn,SAFEX,
HU,SAFEX CBOT Beans,SAFEX,
MX,CAC 40,EURONEXT,INDICES
BE,BEL 20,EURONEXT,INDICES
PQ,PSI 20,EURONEXT,INDICES
AE,AEX Index,EURONEXT,INDICES
FJ,FTSEurofirst 100,EURONEXT,INDICES
FK,FTSEurofirst 80,EURONEXT,INDICES
XR,Rapeseed,EURONEXT,COMMODITIES
RO,Rapeseed Oil,EURONEXT,COMMODITIES
RE,Rapeseed Meal,EURONEXT,COMMODITIES
XB,Corn,EURONEXT,COMMODITIES
ML,Milling Wheat,EURONEXT,COMMODITIES
CA,Cocoa #7,ICE EU,COMMODITIES
EB,Cocoa Euro,ICE EU,COMMODITIES
RM,Robusta Coffee 10-T,ICE EU,COMMODITIES
SW,White Sugar #5,ICE EU,COMMODITIES
CX,Containerised Sugar,ICE EU,COMMODITIES
LW,Feed Wheat,ICE EU,COMMODITIES
CB,Crude Oil Brent,ICE EU,ENERGIES
WI,Crude Oil WTI ICE,ICE EU,ENERGIES
ZU,ICE ASCI Crude,ICE EU,ENERGIES
LF,ICE Gas Oil LS,ICE EU,ENERGIES
NF,ICE UK Natural Gas,ICE EU,ENERGIES
LG,ICE RBOB Blendstock,ICE EU,ENERGIES
LO,ICE Heating Oil,ICE EU,ENERGIES
LM,ICE Middle East Sour,ICE EU,ENERGIES
LU,ICE Rotterdam Coal,ICE EU,ENERGIES
LV,ICE Richard Bay Coal,ICE EU,ENERGIES
LQ,ICE NewCastle Coal,ICE EU,ENERGIES
OO,ICE FOB Indo Coal,ICE EU,ENERGIES
OS,ICE Appalachian Coal,ICE EU,ENERGIES
OY,ICE CSX Coal,ICE EU,ENERGIES
OV,ICE PowderBasin Coal,ICE EU,ENERGIES
CP,ICE South China Coal,ICE EU,ENERGIES
N4,UK Base Electric GRG,ICE EU,ENERGIES
N8,UK Peak Electric GRG,ICE EU,ENERGIES
CK,ICE EUA Futures,ICE EU,ENERGIES
CQ,ICE CER Futures,ICE EU,ENERGIES
RC,ICE EUAA Futures,ICE EU,ENERGIES
=X,FTSE 100,ICE EU,INDICES
=Y,FTSE 250,ICE EU,INDICES
IB,FTSE 100 Dividend,ICE EU,INDICES
F6,MSCI World NTR Index,ICE EU,INDICES
L7,MSCI Europe NTR Index,ICE EU,INDICES
A7,MSCI EMI,ICE EU,INDICES
A8,MSCI Far East ex-Jap,ICE EU,INDICES
N3,MSCI USA EW NTR,ICE EU,INDICES
NI,MSCI EMI NT EUR Index,ICE EU,INDICES
NJ,MSCI India Index,ICE EU,INDICES
N7,FTSE 100 EW NTR GBP,ICE EU,INDICES
MU,FTSE UK Mid 150 NTR,ICE EU,INDICES
IM,3-Month EuriBor,ICE EU,INTEREST RATES
IJ,1-Month EONIA,ICE EU,INTEREST RATES
=L,3-Month Sterling,ICE EU,INTEREST RATES
=F,3-Month Euroswiss,ICE EU,INTEREST RATES
VW,2-Yr Euro Swapnote,ICE EU,INTEREST RATES
VF,5-Yr Euro Swapnote,ICE EU,INTEREST RATES
VT,10-Yr Euro Swapnote,ICE EU,INTEREST RATES
VX,2-Yr Dollar Swapnote,ICE EU,INTEREST RATES
VY,5-Yr Dollar Swapnote,ICE EU,INTEREST RATES
VZ,10Yr Dollar Swapnote,ICE EU,INTEREST RATES
QB,Ultra Long Gilt,ICE EU,INTEREST RATES
=G,10-Year Long Gilt,ICE EU,INTEREST RATES
QD,5-Year Medium Gilt,ICE EU,INTEREST RATES
QE,2-Year Short Gilt,ICE EU,INTEREST RATES
EG,LIFFE EuroDollar,ICE EU,INTEREST RATES
JH,US Treasury GCF Repo,ICE EU,INTEREST RATES
JR,Mortgage-Backed Repo,ICE EU,INTEREST RATES
FY,Stoxx Europe 600,EUREX,INDICES
PE,Euro Stoxx Index,EUREX,INDICES
PF,Euro Stoxx Large,EUREX,INDICES
PG,Euro Stoxx Mid,EUREX,INDICES
PI,Euro Stoxx Small,EUREX,INDICES
PO,Stoxx Eur Large 200,EUREX,INDICES
FM,Stoxx Eur Mid 200,EUREX,INDICES
PT,Stoxx Eur Small 200,EUREX,INDICES
AI,DivDAX Futures,EUREX,INDICES
AQ,Stoxx Dividend 30,EUREX,INDICES
DO,Euro Stoxx Dividend,EUREX,INDICES
DV,VSTOXX Mini,EUREX,INDICES
AC,MSCI World Index,EUREX,INDICES
TQ,MSCI Russia Index,EUREX,INDICES
NA,MSCI China Index,EUREX,INDICES
JD,MSCI Europe Index,EUREX,INDICES
LI,Bloomberg Agriculture,EUREX,INDICES
LJ,Bloomberg Commodity,EUREX,INDICES
LK,Bloomberg Energy,EUREX,INDICES
LZ,Bloomberg Industrial,EUREX,INDICES
QP,Bloomberg Ex Energy,EUREX,INDICES
QN,Bloomberg Grains,EUREX,INDICES
QK,Bloomberg Livestock,EUREX,INDICES
QJ,Bloomberg Petroleum,EUREX,INDICES
PM,Bloomberg Metals,EUREX,INDICES
PU,Bloomberg Softs,EUREX,INDICES
GG,Euro Bund,EUREX,INTEREST RATES
HR,Euro Bobl,EUREX,INTEREST RATES
HF,Euro Schatz,EUREX,INTEREST RATES
GX,Euro Buxl,EUREX,INTEREST RATES
FN,Euro OAT Long-Term,EUREX,INTEREST RATES
GT,Euro OAT Medium-Term,EUREX,INTEREST RATES
CF,Eurex Conf Long-Term,EUREX,INTEREST RATES
IZ,Euro Bono Long-Term,EUREX,INTEREST RATES
II,Euro BTP Long-Term,EUREX,INTEREST RATES
JT,Euro BTP Medium-Term,EUREX,INTEREST RATES
IA,Euro BTP Short-Term,EUREX,INTEREST RATES
TV,Eurex 3Month EuriBor,EUREX,INTEREST RATES
FO,Eurex 1Month EONIA,EUREX,INTEREST RATES
GP,Hogs European,EUREX,COMMODITIES
GO,Potatoes European,EUREX,COMMODITIES
GQ,Piglets European,EUREX,COMMODITIES
MR,Skimmed Milk Europe,EUREX,COMMODITIES
QY,Butter European,EUREX,COMMODITIES
W5,Whey Powder European,EUREX,COMMODITIES
OD,BSE Feed Corn,BSE,
OG,BSE Sunflower Seed,BSE,
OH,BSE Rapeseed,BSE,
OB,BUX Budapest Index,BSE,
R8,Aluminium Alloy,LME,
Q8,Aluminium High Grade,LME,
S8,NAS Aluinium,LME,
R0,Lead PIG,LME,
Q0,Nickel,LME,
O9,Copper Grade A,LME,
S4,Tin Refined,LME,
O0,Zinc High Grade,LME,
V6,Molybdenum,LME,
U8,Cobalt,LME,
OX,OMX Swedish Index,OMX,
EF,IBEX 35 Index,MEFF,
EZ,IBEX 35 Mini,MEFF,
J9,MEFF Bono 10,MEFF,
QX,TurkDex TRYUSD,TURK,
QS,TurkDex TRYEUR,TURK,
QZ,Bist 30 Index,TURK,
XS,DCE No.2 Soybeans,DCE,
XT,DCE No.1 Soybeans,DCE,
XU,DCE Soy Meal,DCE,
XV,DCE Corn,DCE,
XJ,DCE Corn Starch,DCE,
XX,DCE Soybean Oil,DCE,
YB,DCE Polyethylene,DCE,
Y0,DCE Polypropylene,DCE,
YH,DCE Palm Olein,DCE,
XA,DCE PVC,DCE,
XM,DCE Coke,DCE,
YQ,DCE Coking Coal,DCE,
YY,DCE Iron Ore,DCE,
WD,DCE Fresh Hen Egg,DCE,
Y3,DCE Fiberboard,DCE,
Y4,DCE Blockboard,DCE,
HS,Hang Seng Index,HKFE,
HK,Mini Hang Seng Index,HKFE,
HA,H-shares Index,HKFE,
IX,Mini H-shares Index,HKFE,
E$,HKFE HSI Dividend,HKFE,
F$,HKFE HSCEI Dividend,HKFE,
KX,HKFE USD/CNH Futures,HKFE,
HB,HKFE 3-Month Hibor,HKFE,
CI,HKFE Aluminium Mini,HKFE,
CR,HKFE Zinc Mini,HKFE,
CO,HKFE Copper Mini,HKFE,
LN,HKFE Nickel Mini,HKFE,
LA,HKFE Tin Mini,HKFE,
LP,HKFE Lead Mini,HKFE,
GJ,HKFE Gold CNH,HKFE,
GU,HKFE Gold USD,HKFE,
KS,Kospi 200,KFE,
KB,Korea 3-Year Bond,KFE,
EO,Korea 5-Year Bond,KFE,
EE,Korea 10-Year Bond,KFE,
KD,US Dollar/Korean Won,KFE,
KL,KLCI Index,MDEX,
KO,Palm Oil,MDEX,
KP,Palm Kernel Oil,MDEX,
KN,Palm Oil USD,MDEX,
M5,Palm Olein RBD,MDEX,
E-,NCDEX Maize KHRF,NCDEX,
F-,NCDEX Wheat Delhi,NCDEX,
H1,NCDEX Barley,NCDEX,
I-,NCDEX Sugar M Grade,NCDEX,
K1,NCDEX Soybeans,NCDEX,
K2,NCDEX Soybean Oil,NCDEX,
W.,NCDEX Degum Soy Oil,NCDEX,
B-,NCDEX Rape Mustard,NCDEX,
D-,NCDEX Coriander,NCDEX,
S-,NCDEX Jeera,NCDEX,
U3,NCDEX Turmeric,NCDEX,
U4,NCDEX Shankar Kapas,NCDEX,
P-,NCDEX Kapas V 797,NCDEX,
Q-,NCDEX Crude Palm Oil,NCDEX,
X-,NCDEX GuarSeed 10M,NCDEX,
X.,NCDEX GuarGum 5MT,NCDEX,
M.,NCDEX Cocudakl,NCDEX,
N.,NCDEX CastorSeed,NCDEX,
X6,MCX USDINR,MCX,
X5,MCX JPYINR,MCX,
K0,MCX EURINR,MCX,
W4,MCX GBPINR,MCX,
K3,Whole Milk Powder,NZX,
K4,Skim Milk Powder,NZX,
K5,Anhydrous Milk Fat,NZX,
K!,Global Butter,NZX,
K8,NZX 20 Capital Index,NZX,
TW,Taiwan Weighted Idx,TAIWA,
TE,Thai SET50 Index,TFEX,
U1,Thai Baht 10 Gold,TFEX,
U2,Thai Baht 50 Gold,TFEX,
VB,SHFE Aluminium,SHFE,
VC,SHFE Copper,SHFE,
VQ,SHFE Fuel Oil,SHFE,
VG,SHFE Zinc,SHFE,
VH,SHFE Gold,SHFE,
XO,SHFE Silver,SHFE,
VR,SHFE Rubber,SHFE,
VP,SHFE Steel Rebar,SHFE,
WG,SHFE Steel Wire Rod,SHFE,
WF,SHFE Lead,SHFE,
VM,SHFE Nickel,SHFE,
WB,SHFE Tin,SHFE,
VD,SHFE Bitumen,SHFE,
Y5,SHFE Hot-rolled Coil,SHFE,
ZD,ICE Mini Brent,ICE SINGAPORE,
ZH,ICE Mini Gas Oil LS,ICE SINGAPORE,
ZP,ICE Onshore CNY/USD,ICE SINGAPORE,
ZX,ICE Offshore USD/CNH,ICE SINGAPORE,
ZZ,ICE Kilo Gold,ICE SINGAPORE,
NX,SGX Nikkei 225,SIMEX,
NU,SGX Nikkei 225 USD,SIMEX,
HQ,SGX Nikkei Mini 225,SIMEX,
HT,SGX Nikkei Dividend,SIMEX,
TI,MSCI Taiwan Index,SIMEX,
SV,MSCI Singapore Index,SIMEX,
SX,MSCI Indonesia Index,SIMEX,
CY,MSCI China Index,SIMEX,
NH,SGX CNX Nifty Index,SIMEX,
VS,SGX Straits Times,SIMEX,
HN,SGX FTSE China A50,SIMEX,
DS,SGX Eurodollar,SIMEX,
WT,SGX Euroyen Tibor,SIMEX,
JX,SGX 10-Year JGB,SIMEX,
JV,SGX 10-Year JGB Full,SIMEX,
C0,SGX TSI Iron Ore 62%,SIMEX,
W-,SGX MB Iron Ore 58%,SIMEX,
J-,SGX TSI Iron Ore 58%,SIMEX,
A-,SGX Hot Rolled Steel,SIMEX,
D3,SGX JM25 Coking Coal,SIMEX,
U7,SGX Aus Coking Coal,SIMEX,
E2,SGX API 4 Richards,SIMEX,
B7,SGX API 5 Newcastle,SIMEX,
C7,SGX IHS Indonesia,SIMEX,
OZ,SGX Fuel Oil 380,SIMEX,
W2,SGX TSR20 (FOB),SIMEX,
U6,SGX RSS3 Rubber,SIMEX,
H7,SGX Paraxylene,SIMEX,
H9,SGX Benzene,SIMEX,
U-,SGX INR/USD,SIMEX,
ID,Tocom Crude Oil,TOCOM,
IG,Tocom Gold,TOCOM,
IL,Tocom Gold-Mini,TOCOM,
IK,Tocom Platinum,TOCOM,
IN,Tocom Gasoline,TOCOM,
IO,Tocom Kerosene,TOCOM,
JI,Tocom Gas Oil,TOCOM,
IY,Tocom Rubber,TOCOM,
IU,Tocom Palladium,TOCOM,
IV,Tocom Silver,TOCOM,
JN,Tocom Platinum-Mini,TOCOM,
JK,Chukyo Kerosene,TOCOM,
JO,Chukyo Gasoline,TOCOM,
CV,Tocom Corn,TOCOM,
YZ,Tocom Azuki Red Bean,TOCOM,
CW,Tocom U.S. Soybeans,TOCOM,
